hip;plx;plx_err;ruwe;teff_spec;radius_flame;lum_flame;diam_mas;diam_n
3;2.9927;0.0428;1.019;;;;;
11;3.3645;0.0268;0.903;;;;;
14;5.9966;0.0285;1.100;4502;;;;
19;4.4558;0.0249;1.193;4867;15.139;135.122;;
21;3.5095;0.0271;1.092;4199;20.075;145.531;;
23;10.7299;0.0251;0.932;6245;2.053;6.690;;
31;1.9849;0.0259;0.955;4077;;;;
36;5.9413;0.0355;1.194;4547;;;;
39;11.5118;0.0244;0.958;6488;2.058;6.434;;
43;7.9154;0.0198;0.932;4730;11.170;63.330;;
44;3.8451;0.0271;1.027;4603;;;;
48;2.7604;0.0212;1.019;4495;22.708;191.642;;
50;16.5331;0.0201;1.091;6005;2.650;7.347;;
55;14.9069;0.0228;1.182;6451;1.582;3.335;;
58;26.1048;0.0182;1.002;6168;1.206;1.840;;
63;5.5784;0.0405;0.965;;2.741;170.150;;
67;7.1774;0.0240;1.007;6450;2.914;11.836;;
73;3.0496;0.0159;0.881;4157;;;;
75;2.0454;0.0184;1.126;3972;;;;
87;4.9140;0.0247;0.921;;3.942;27.971;;
88;6.6758;0.0402;0.922;4970;14.003;116.799;;
89;2.3570;0.0180;1.018;4016;;;;
90;8.8112;0.0243;1.018;6210;2.544;9.559;;
99;2.1227;0.0297;0.895;4250;;;5.930;1
102;3.3415;0.0282;1.044;3908;42.564;829.316;;
105;3.3918;0.0198;0.968;;;;;
106;4.1155;0.0211;0.920;4862;;;;
107;5.3743;0.0724;1.230;3886;;;;
109;5.2472;0.0254;1.023;;4.344;40.349;;
115;3.9546;0.0204;1.027;7572;3.522;92.760;;
119;6.1672;0.0234;0.987;4703;10.806;57.817;;
121;4.2578;0.0241;1.042;4492;18.199;161.067;;
122;15.4549;0.0916;1.377;4288;;;;
123;5.8049;0.0143;0.961;4545;;;;
124;1.3825;0.0520;1.074;7364;;;;
128;14.3366;0.0244;1.103;8025;1.659;9.639;;
133;5.5573;0.0200;0.967;;6.944;60.295;;
136;5.4909;0.0219;1.012;4485;15.761;111.244;;
137;2.9772;0.0481;1.053;;;;;
138;6.0004;0.0237;1.029;4611;7.388;28.081;;
142;16.5611;0.0155;0.924;5676;1.950;3.813;;
145;7.5845;0.1668;0.821;;;;;
150;7.0922;0.0226;1.072;4525;8.860;46.241;;
154;7.8758;0.4105;1.410;;;;7.270;2
158;5.7979;0.0210;1.020;4684;9.642;55.186;;
159;15.6486;0.0318;1.063;;1.524;5.733;;
164;3.8212;0.0198;0.944;4810;;;;
171;;;;;;;0.720;1
175;3.5284;0.0258;1.278;5004;9.650;67.155;;
178;9.0301;0.0200;1.016;6495;1.598;3.649;;
179;16.0980;0.0256;1.051;;2.010;5.428;;
181;2.5792;0.0258;0.854;3733;;;;
