ra;dec;mag;label;hip;dist_pc;spect;ci;absmag
101.2872;-16.7161;-1.44;Sirius;32349;2.64;A0m...;0.009;1.45
95.988;-52.6957;-0.62;Canopus;30438;94.79;F0Ib;0.164;-5.50
213.9153;19.1824;-0.05;Arcturus;69673;11.26;K2IIIp;1.239;-0.31
219.9021;-60.834;-0.01;Rigil Kentaurus;71683;1.32;G2V;0.710;4.38
279.2347;38.7837;0.03;Vega;91262;7.68;A0Vvar;-0.001;0.60
79.1723;45.998;0.08;Capella;24608;13.12;M1: comp;0.795;-0.51
78.6345;-8.2016;0.18;Rigel;24436;264.55;B8Ia;-0.030;-6.93
114.8255;5.225;0.4;Procyon;37279;3.51;F5IV-V;0.432;2.67
24.4285;-57.2368;0.45;Achernar;7588;42.75;B3Vp;-0.158;-2.71
88.7929;7.4071;0.45;Betelgeuse;27989;152.67;M2Ib;1.500;-5.47
210.9559;-60.373;0.61;Hadar;68702;120.19;B1III;-0.231;-4.79
297.6958;8.8683;0.76;Altair;97649;5.13;A7IV-V;0.221;2.21
186.6496;-63.0991;0.77;Acrux;60718;98.72;B0.5IV;-0.243;-4.20
68.9802;16.5093;0.87;Aldebaran;21421;20.43;K5III;1.538;-0.68
201.2982;-11.1613;0.98;Spica;65474;76.57;B1V;-0.235;-3.44
247.3519;-26.432;1.06;Antares;80763;169.78;M1Ib + B2.5V;1.865;-5.09
116.329;28.0262;1.16;Pollux;37826;10.36;K0IIIvar;0.991;1.08
344.4127;-29.6222;1.17;Fomalhaut;113368;7.70;A3V;0.145;1.74
191.9303;-59.6888;1.25;Mimosa;62434;85.40;B0.5III;-0.238;-3.41
310.358;45.2803;1.25;Deneb;102098;432.90;A2Ia;0.092;-6.93
219.8962;-60.8372;1.35;Toliman;71681;1.32;K1V;0.900;5.74
152.093;11.9672;1.36;Regulus;49669;24.31;B7V;-0.087;-0.57
104.6565;-28.9721;1.5;Adhara;33579;124.22;B2II;-0.211;-3.97
113.6494;31.8883;1.58;Castor;36850;15.60;A2Vm;0.034;0.61
187.7915;-57.1132;1.59;Gacrux;61084;27.15;M4III;1.600;-0.58
263.4022;-37.1038;1.62;Shaula;85927;175.13;B1.5IV+...;-0.231;-4.60
81.2828;6.3497;1.64;Bellatrix;25336;77.40;B2III;-0.224;-2.80
81.573;28.6075;1.65;Elnath;25428;41.05;B7III;-0.130;-1.42
138.2999;-69.7172;1.67;Miaplacidus;45238;34.70;A2IV;0.070;-1.03
84.0534;-1.2019;1.69;Alnilam;26311;606.06;B0Ia;-0.184;-7.22
332.0583;-46.961;1.73;Alnair;109268;30.97;B7IV;-0.070;-0.72
85.1897;-1.9426;1.74;Alnitak;26727;225.73;O9.5Ib SB;-0.199;-5.03
122.3831;-47.3366;1.75;Regor;39953;342.47;WC8 + O9I;-0.145;-5.92
193.5073;55.9598;1.76;Alioth;62956;25.31;A0p;-0.022;-0.26
51.0807;49.8612;1.79;Mirfak;15863;155.28;F5Ib;0.481;-4.17
276.043;-34.3846;1.79;Kaus Australis;90185;43.94;B9.5III;-0.031;-1.42
165.932;61.751;1.81;Dubhe;54061;37.68;F7V comp;1.061;-1.07
107.0979;-26.3932;1.83;Wezen;34444;492.61;F8Ia;0.671;-6.63
206.8852;49.3133;1.85;Alkaid;67301;31.87;B3V SB;-0.099;-0.67
125.6285;-59.5095;1.86;Avior;41037;185.53;K3III+B2V;1.196;-4.48
264.3297;-42.9978;1.86;Sargas;86228;92.08;F1II;0.406;-2.96
89.8822;44.9474;1.9;Menkalinan;28360;24.87;A2V;0.077;-0.08
252.1662;-69.0277;1.91;Atria;82273;119.76;K2IIb-IIIa;1.447;-3.48
99.4279;16.3993;1.93;Alhena;31681;33.51;A0IV;0.001;-0.70
131.1759;-54.7088;1.93;Alsephina;42913;24.70;A1V;0.043;-0.03
306.4119;-56.7351;1.94;Peacock;100751;54.82;B2IV;-0.118;-1.75
37.9545;89.2641;1.97;Polaris;11767;132.63;F7:Ib-IIv SB;0.636;-3.64
95.6749;-17.9559;1.98;Mirzam;30324;151.06;B1II/III;-0.240;-3.92
141.8968;-8.6586;1.99;Alphard;46390;55.28;K3III;1.440;-1.72
31.7934;23.4624;2.01;Hamal;9884;20.18;K2III;1.151;0.49
154.9931;19.8415;2.01;Algieba;50583;39.89;K0III;1.128;-0.99
10.8974;-17.9866;2.04;Diphda;3419;29.53;K0III;1.019;-0.31
283.8164;-26.2967;2.05;Nunki;92855;69.83;B2.5V;-0.134;-2.17
211.6706;-36.37;2.06;Menkent;68933;18.03;K0IIIb;1.011;0.78
2.0969;29.0904;2.07;Alpheratz;677;29.74;B9p;-0.038;-0.30
17.433;35.6206;2.07;Mirach;5447;60.53;M0IIIvar;1.576;-1.84
